code,kind,name,price,comment,score,province,city,star
khalkhal-parnian,hotel,هتل پرنیان,,(۱),۳.۲,اردبیل,خلخال,(۲ ستاره)
ardabil-sabalan,hotel,هتل سبلان,,(۷),۳.۱,اردبیل,اردبیل,(۳ ستاره)
ardebil-negin,hotel,هتل نگین,,(۱۲),۳.۲,اردبیل,اردبیل,(۲ ستاره)
sareyn-atrak,hotel,هتل اترک,,(۷),۴.۱,اردبیل,سرعین,(۳ ستاره)
sarein-kabir,hotel,هتل کبیر,,(۸),۲.۳,اردبیل,سرعین,(۳ ستاره)
meshginshahr-dorna,hotel,هتل دورنا,,(۲),۲.۹,اردبیل,مشگین شهر,(۳ ستاره)
sareyn-ershad,hotel,هتل ارشاد,,(۷),۳.۶,اردبیل,سرعین,(۴ ستاره)
sareyn-laleh,hotel,هتل لاله ۲,,(۱۶),۴,اردبیل,سرعین,(۴ ستاره)
khalkhaal-felor,hotel,هتل فلور,,(۶),۳,اردبیل,خلخال,(۳ ستاره)
saryen-ershad,hotel,هتل بوستان,,(۸),۳,اردبیل,سرعین,(۴ ستاره)
ardebil-darya,hotel,هتل دریا,,(۸),۲.۵,اردبیل,اردبیل,(۳ ستاره)
sarein-sasan,hotel,هتل ساسان,,(۱۷),۳.۵,اردبیل,سرعین,(۲ ستاره)
sareyn-sehat,hotel,هتل صحت,,(۲۲),۴.۴,اردبیل,سرعین,(۲ ستاره)
ardabil-mehdi,hotel,هتل مهدی,,(۲),۳.۶,اردبیل,اردبیل,(۲ ستاره)
ca9bdd594c,hotel,هتل سوین تک,,(۵),۴.۱,اردبیل,سرعین,(۱ ستاره)
e3e28422e1,hotel,هتل خیام,,,,اردبیل,سرعین,(۲ ستاره)
sareyn-tamasha,hotel,هتل تماشا,,(۴),۲.۸,اردبیل,سرعین,(۴ ستاره)
sarein-royal park,hotel,هتل  رویال پارک,,(۸),۳.۲,اردبیل,سرعین,(۴ ستاره)
02b3772e6c,hotel,هتل امید,,,,اردبیل,سرعین,(۱ ستاره)
meshginshahr-aran,hotel,هتل آران,,,,اردبیل,مشگین شهر,(۳ ستاره)
ae14a96798,hotel,هتل تاج محل,,(۴),۲.۱,اردبیل,سرعین,(۱ ستاره)
17c25e8172,hotel,هتل پیمان,,,,اردبیل,سرعین,(۱ ستاره)
7ee38ee209,hotel,هتل دریا,,,,اردبیل,سرعین,(۲ ستاره)
