code,kind,name,price,comment,score,province,city,star
ardebil-saray,hotel,هتل سارای,۴۲۰۰۰۰,(۱),۱.۸,اردبیل,اردبیل,(۳ ستاره)
ardebil-darya,hotel,هتل دریا,۳۰۴۰۰۰,(۸),۲.۵,اردبیل,اردبیل,(۳ ستاره)
ardabil-sabalan,hotel,هتل سبلان,۳۰۳۰۰۰,(۷),۳.۱,اردبیل,اردبیل,(۳ ستاره)
sarein-koorosh,hotel,هتل کوروش,۳۲۵۰۰۰,(۲),۲.۳,اردبیل,سرعین,(۳ ستاره)
saryen-ershad,hotel,هتل بوستان,۳۵۰۰۰۰,(۸),۳,اردبیل,سرعین,(۴ ستاره)
sareyn-ershad,hotel,هتل ارشاد,۵۱۰۰۰۰,(۷),۳.۶,اردبیل,سرعین,(۴ ستاره)
sareyn-laleh,hotel,هتل لاله ۲,۴۴۷۰۰۰,(۲۶),۳.۸,اردبیل,سرعین,(۴ ستاره)
khalkhaal-felor,hotel,هتل فلور,۴۳۲۰۰۰,(۶),۳,اردبیل,خلخال,(۳ ستاره)
sarein-sasan,hotel,هتل ساسان,۲۳۵۶۰۰,(۱۷),۳.۵,اردبیل,سرعین,(۲ ستاره)
ca9bdd594c,hotel,هتل سوین تک,۱۵۶۰۰۰,(۵),۴.۱,اردبیل,سرعین,(۱ ستاره)
sarein-royal park,hotel,هتل  رویال پارک,۶۱۴۲۰۰,(۸),۳.۲,اردبیل,سرعین,(۴ ستاره)
meshginshahr-dorna,hotel,هتل دورنا,۳۲۱۰۰۰,(۲),۲.۹,اردبیل,مشگین شهر,(۳ ستاره)
khalkhal-parnian,hotel,هتل پرنیان,۵۲۰۰۰۰,(۱),۳.۲,اردبیل,خلخال,(۲ ستاره)
tabriz-beinolmelali,hotel,هتل بین المللی,۵۳۰۰۰۰,(۳۴),۳.۳,آذربایجان شرقی,تبریز,(۴ ستاره)
tabriz-behboud,hotel,هتل بهبود,۳۳۰۰۰۰,(۲۶),۴,آذربایجان شرقی,تبریز,(۳ ستاره)
tabriz-gostaresh,hotel,هتل گسترش,۵۳۰۰۰۰,(۴۴),۴.۱,آذربایجان شرقی,تبریز,(۴ ستاره)
tabriz-kandovan,hotel,هتل صخره ای لاله کندوان,۶۴۵۰۰۰,(۱۲),۳.۴,آذربایجان شرقی,تبریز,(۵ ستاره)
tabriz-ziba,hotel,هتل زیبا,۲۳۰۰۰۰,,,آذربایجان شرقی,تبریز,(۱ ستاره)
tbriz-elay,hotel,هتل ائل آی,۳۶۰۰۰۰,(۹),۳.۵,آذربایجان شرقی,تبریز,(۳ ستاره)
tabriz-esteghbal,hotel,هتل استقبال,۳۹۱۰۰۰,(۱۲),۳.۶,آذربایجان شرقی,تبریز,(۳ ستاره)
tabriz-caspian,hotel,هتل  کاسپین,۳۲۰۰۰۰,(۸),۳.۷,آذربایجان شرقی,تبریز,(۳ ستاره)
tabriz-jahangardi,hotel,هتل جهانگردی,۳۶۹۰۰۰,(۳),۲.۹,آذربایجان شرقی,تبریز,(۱ ستاره)
tabriz-pars,hotel,هتل پارس ائل گلی,۸۷۶۰۰۰,(۸۵),۴.۵,آذربایجان شرقی,تبریز,(۵ ستاره)
tabriz-lalehpark,hotel,هتل  لاله پارک,۹۵۰۰۰۰,(۵۶),۴.۱,آذربایجان شرقی,تبریز,(۵ ستاره)
tabriz-shahriar,hotel,هتل شهریار,۸۰۰۰۰۰,(۳۹),۴,آذربایجان شرقی,تبریز,(۵ ستاره)
saray-tabriz,hotel,هتل سارای,۲۴۳۰۰۰,,,آذربایجان شرقی,تبریز,(۳ ستاره)
tabriz-sina,hotel,هتل سینا,۳۴۰۰۰۰,(۱۲),۳.۷,آذربایجان شرقی,تبریز,(۲ ستاره)
tabriz-darya,hotel,هتل دریا,۳۸۴۰۰۰,,,آذربایجان شرقی,تبریز,(۳ ستاره)
tabriz-morvarid,hotel,هتل مروارید,۲۳۸۰۰۰,(۷),۳.۶,آذربایجان شرقی,تبریز,(۱ ستاره)
